Empresa;Codigo;indices dos quais participa
FII GGRCOVEP;GGRC11;IFIL,IFIX
FII GUARDIAN;GALG11;IFIX
FII HABIT II;HABT11;IFIL,IFIX
FII HECTARE;HCTR11;IFIL,IFIX
FII HEDGEBS;HGBS11;IFIL,IFIX
FII HG REAL;HGRE11;IFIL,IFIX
FII HSI CRI;HSAF11;IFIX
FII HSI LOG;HSLG11;IFIX
FII HSI MALL;HSML11;IFIL,IFIX
FII HTOPFOF3;HFOF11;IFIL,IFIX
FII INDL BR;FIIB11;IFIX
FII IRIDIUM;IRDM11;IFIL,IFIX
FII JS REAL;JSRE11;IFIL,IFIX
FII KILIMA;KISU11;IFIL,IFIX
FII KINEA;KNRI11;IFIL,IFIX
FII KINEA HY;KNHY11;IFIL,IFIX
FII KINEA IP;KNIP11;IFIL,IFIX
FII KINEA RI;KNCR11;IFIL,IFIX
FII KINEA SC;KNSC11;IFIL,IFIX
FII KINEAFOF;KFOF11;IFIX
FII MALLS BP;MALL11;IFIL,IFIX
FII MAUA;MCCI11;IFIL,IFIX
FII MAUA HF;MCHF11;IFIX
FII MAXI REN;MXRF11;IFIL,IFIX
FII MERITO I;MFII11;IFIX
FII MOGNO;MGFF11;IFIL,IFIX
FII MORE RE;MORE11;IFIX
FII NCH EQI;NCHB11;IFIX
FII OURI JPP;OUJP11;IFIX
FII PATR LOG;PATL11;IFIL,IFIX
FII PLURAL R;PLCR11;IFIX
FII POLO CRI;PORD11;IFIX
FII QUASAR A;QAGR11;IFIX
FII RBR LOG;RBRL11;IFIX
FII RBR PCRI;RBRY11;IFIX
FII RBR PROP;RBRP11;IFIL,IFIX
FII RBRALPHA;RBRF11;IFIL,IFIX
FII RBRHGRAD;RBRR11;IFIL,IFIX
FII REC RECE;RECR11;IFIL,IFIX
FII REC REND;RECT11;IFIL,IFIX
FII RIOB FF;RBFF11;IFIX
FII RIOB RC;RCRB11;IFIX
FII RIOB VA;RBVA11;IFIL,IFIX
FII RIZA AKN;RZAK11;IFIL,IFIX
FII RIZA TX;RZTR11;IFIL,IFIX
FII SANT PAP;SADI11;IFIX
FII SANT REN;SARE11;IFIL,IFIX
FII SDI LOG;SDIL11;IFIL,IFIX
FII SP DOWNT;SPTW11;IFIX
FII SUNO CRI;SNCI11;IFIX
FII SUNOFOFI;SNFF11;IFIL,IFIX
FII TG ATIVO;TGAR11;IFIL,IFIX
FII TORDE EI;TORD11;IFIL,IFIX
FII TRX REAL;TRXF11;IFIL,IFIX
FII URCA REN;URPR11;IFIL,IFIX
FII VALOR HE;VGHF11;IFIL,IFIX
FII VALORAIP;VGIP11;IFIL,IFIX
FII VALREIII;VGIR11;IFIX
FII VBI CRI;CVBI11;IFIL,IFIX
FII VBI LOG;LVBI11;IFIL,IFIX
FII VBI PRI;PVBI11;IFIL,IFIX
FII VBI REIT;RVBI11;IFIX
FII VECTIS;VCJR11;IFIX
FII VERS CRI;VSLH11;IFIL,IFIX
FII VINCI IF;VIFI11;IFIX
FII VINCI LG;VILG11;IFIL,IFIX
FII VINCI OF;VINO11;IFIL,IFIX
FII VINCI SC;VISC11;IFIL,IFIX
FII VOT LOG;VTLT11;IFIX
FII XP CRED;XPCI11;IFIL,IFIX
FII XP INDL;XPIN11;IFIX
FII XP LOG;XPLG11;IFIL,IFIX
FII XP MALLS;XPML11;IFIL,IFIX
FII XP PROP;XPPR11;IFIL,IFIX
FII XP SELEC;XPSF11;IFIL,IFIX
FIRST SOLAR;FSLR34;BDRX
FLEURY;FLRY3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
FORD MOTORS;FDMO34;BDRX
FORTINET INC;F1TN34;BDRX
FRAS-LE;FRAS3;IGCX
FREEPORT;FCXO34;BDRX
GAFISA;GFSA3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
GE;GEOO34;BDRX
GENERAL MOT;GMCO34;BDRX
GENERALSHOPP;GSHP3;ITAG
GER PARANAP;GEPA4;ITAG
GERDAU;GGBR3;IGCX,ITAG
GERDAU;GGBR4;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX
GERDAU MET;GOAU3;IGCX,ITAG
GERDAU MET;GOAU4;IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL
GETNET BR;GETT11;GPTW,IBRA,IFNC,ITAG,SMLL
GETNINJAS;NINJ3;IGCX,IGNM,ITAG
GILEAD;GILD34;BDRX
GOL;GOLL4;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,ITAG,IVBX,SMLL
GOLD FIELDS;G1FI34;BDRX
GOLDMANSACHS;GSGI34;BDRX
GOPRO;GPRO34;BDRX
GPS;GGPS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
GRAZZIOTIN;CGRA3;ITAG
GRAZZIOTIN;CGRA4;ITAG
GRENDENE;GRND3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
GRUPO MATEUS;GMAT3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPO NATURA;NTCO3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
GRUPO SBF;SBFG3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPO SOMA;SOMA3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GSK PLC;G1SK34;BDRX
GUARARAPES;GUAR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
HAPVIDA;HAPV3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
HARLEY-DAVID;H1OG34;BDRX
HBR REALTY;HBRE3;IGCX,IGNM,ITAG
HCA HEALTHCA;H1CA34;BDRX
HELBOR;HBOR3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
HIDROVIAS;HBSA3;AGFS,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
HOME DEPOT;HOME34;BDRX
HONDA MO;HOND34;BDRX
HORIZON THER;H1ZN34;BDRX
HP COMPANY;HPQB34;BDRX
HSBC HOLDING;H1SB34;BDRX
